CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;20084;P;1;12;;;2053;;2427;;;50003;1;1;1;1;1;1;;;+01806380;+4756730;;0;
852;3;20085;P;1;12;;;2051;;2427;;;50003;1;1;1;1;1;1;;;+01806320;+4756870;;0;
852;3;20086;P;1;11;;;5114;;2427;;;50003;1;1;1;1;1;1;;;+01805870;+4758110;;0;
852;3;20087;P;1;12;;;2052;;2427;;;50003;1;1;1;1;1;1;;;+01805930;+4758780;;0;
852;3;20088;P;1;11;;;5117;;468;;;50003;1;1;1;1;1;1;;;+01808100;+4762980;;0;
852;3;20089;P;1;11;;;5116;;468;;;50003;1;1;1;1;1;1;;;+01808810;+4763710;;0;
852;3;20090;P;1;11;;;5115;;2076;;;50003;1;1;1;1;1;1;;;+01808980;+4764950;;0;
852;3;20091;P;1;12;;;4845;;2076;;;50003;1;1;1;1;1;1;;;+01808990;+4767240;;0;
852;3;20092;P;1;3;;;5775;;2076;;;50003;1;1;1;1;1;1;;;+01809150;+4767470;;0;
852;3;20093;P;1;12;;;2025;;2197;;;50003;1;1;1;1;1;1;;;+01809800;+4768490;;0;
852;3;20094;P;1;12;;;2031;;86;;;50003;1;1;1;1;1;1;;;+01810910;+4770610;;0;
852;3;20095;P;1;9;;;5102;26;86;;;6867;1;1;1;1;1;1;;;+01811450;+4771900;;0;
852;3;20096;P;1;12;;;3999;;86;;;6867;1;1;1;1;1;1;;;+01811870;+4773350;;0;
852;3;20097;P;1;9;;;5106;;86;;;6867;1;1;1;1;1;1;;;+01811900;+4774310;;0;
852;3;20098;P;1;11;;;5110;;86;;;6867;1;1;1;1;1;1;;;+01812040;+4774920;;0;
852;3;20099;P;3;14;;;5113;;86;;;6867;1;1;1;1;1;1;;;+01812080;+4775110;;0;
852;3;25304;P;1;12;;;3468;;1545;;;50814;1;1;1;1;1;1;;;+01871470;+4660280;;0;
852;3;25305;P;1;12;;;8331;;560;;;50814;1;1;1;1;1;1;;;+01865560;+4662910;;0;
852;3;4810;P;4;0;;;5823;;28;;;4809;;;;;;;;;+01761527;+4764548;;0;
852;3;4240;P;4;0;;;5824;;28;;;4239;;;;;;;;;+01761499;+4764646;;0;
852;3;4808;P;4;0;;;5827;;339;;;4807;;;;;;;;;+01766851;+4763273;;0;
852;3;4238;P;4;0;;;5828;;339;;;4237;;;;;;;;;+01765981;+4763445;;0;
852;3;27778;P;1;12;;;3482;;1634;;;51233;1;1;1;1;1;1;;;+01737430;+4769050;;0;
852;3;27779;P;1;12;;;1507;;1634;;;51233;1;1;1;1;1;1;;;+01736690;+4768010;;0;
852;3;27780;P;1;12;;;3483;;2123;;;51233;1;1;1;1;1;1;;;+01732620;+4766860;;0;
852;3;4806;P;4;0;;;5831;;895;;;4805;;;;;;;;;+01771075;+4764765;;0;
852;3;4236;P;4;0;;;5832;;895;;;4235;;;;;;;;;+01771232;+4764992;;0;
852;3;4804;P;4;0;;;5836;;28;;;4803;;;;;;;;;+01775312;+4766288;;0;
852;3;4268;P;4;0;;;5962;;28;;;4267;;;;;;;;;+01773374;+4771421;;0;
852;3;4234;P;4;0;;;5837;;895;;;4233;;;;;;;;;+01774944;+4766296;;0;
852;3;4842;P;4;0;;;5963;;28;;;4841;;;;;;;;;+01773486;+4771337;;0;
852;3;4266;P;4;0;;;5966;;28;;;4265;;;;;;;;;+01774391;+4771138;;0;
